SERVICE,LATITUDE,LONGITUDE,STUCT_HT_T,PERCENT
PCS,43.654,-79.4062,106,0.19
CELL,43.6541,-79.3803,119,0.22
AWS,43.6542,-79.38,91,0.17
AWS,43.6544,-79.4236,120,0.22
AWS,43.6544,-79.4228,124,0.23
AWS,43.6544,-79.3806,94,0.17
AWS,43.6544,-79.3758,110.6,0.2
MBS,43.6544,-79.3589,93,0.17
FCFS38,43.6545,-79.4235,119,0.22
PCS,43.6546,-79.3787,86,0.16
PCS,43.6547,-79.3828,94,0.17
AWS,43.6547,-79.3469,97,0.18
MBS,43.655,-79.4147,127.7,0.23
FCFS38,43.655,-79.388,136,0.25
AWS,43.655,-79.3856,141,0.26
PCS,43.6551,-79.388,125,0.23
MBS,43.6551,-79.388,133,0.24
MBS,43.6551,-79.388,135,0.25
AWS,43.6552,-79.3586,90,0.17
AWS,43.6553,-79.4147,131,0.24
PCS,43.6553,-79.4147,133,0.24
AWS,43.6553,-79.3878,148,0.27
FCFS38,43.6555,-79.4556,128,0.23
AWS,43.6556,-79.4583,130,0.24
AWS,43.6556,-79.415,136,0.25
AWS,43.6556,-79.4092,129,0.24
AWS,43.6556,-79.3881,137,0.25
BWA24,43.6556,-79.37,139,0.26
PCS,43.6557,-79.4585,134,0.25
PCS,43.6557,-79.3846,98,0.18
PCS,43.6557,-79.3809,96,0.18
FCFS38,43.6557,-79.3695,133,0.24
AWS,43.6558,-79.3919,135.1,0.25
AWS,43.6558,-79.3839,110.9,0.2
AWS,43.6558,-79.3792,143,0.26
AWS,43.6558,-79.3783,153,0.28
PCS,43.6558,-79.3783,155,0.28
AWS,43.6559,-79.4093,129,0.24
PCS,43.6559,-79.4093,131,0.24
AWS,43.6559,-79.3841,115,0.21
MBS,43.6559,-79.3841,116,0.21
MBS,43.6559,-79.3841,117,0.21
PCS,43.6559,-79.3841,165,0.3
PCS,43.6559,-79.3841,165,0.3
CELL,43.6559,-79.3841,171,0.31
PCS,43.656,-79.3849,98,0.18
AWS,43.6561,-79.3914,144,0.26
BWA24,43.6561,-79.3589,62,0.11
AWS,43.6561,-79.3361,86.9,0.16
PCS,43.6562,-79.3803,111,0.2
AWS,43.6563,-79.3807,98,0.18
PCS,43.6564,-79.3826,106,0.19
BWA24,43.6564,-79.3819,102,0.19
AWS,43.6564,-79.3758,139,0.26
AWS,43.6564,-79.3744,128.5,0.24
FWA,43.6564,-79.3656,137,0.25
WCS,43.6564,-79.3656,137.1,0.25
AWS,43.6564,-79.3656,138.8,0.25
AWS,43.6564,-79.3654,130,0.24
CELL,43.6564,-79.3654,130,0.24
MBS,43.6564,-79.3654,131,0.24
MBS,43.6566,-79.4672,176,0.32
AWS,43.6566,-79.4672,178,0.33
PCS,43.6566,-79.3806,96,0.18
FCFS38,43.6566,-79.3805,141,0.26
AWS,43.6567,-79.4672,178,0.33
AWS,43.6567,-79.3811,119,0.22
AWS,43.6567,-79.3656,130,0.24
BWA24,43.6569,-79.4031,96,0.18
AWS,43.6569,-79.4017,126,0.23
AWS,43.6569,-79.3591,163,0.3
FCFS38,43.6569,-79.3469,98,0.18
AWS,43.6569,-79.3468,100,0.18
PCS,43.657,-79.3811,107,0.2
AWS,43.657,-79.3811,109,0.2
PCS,43.6571,-79.4352,112,0.21
AWS,43.6572,-79.4642,185,0.34
AWS,43.6572,-79.4494,134.7,0.25
AWS,43.6572,-79.3903,174,0.32
CELL,43.6572,-79.3872,274,0.5
BWA24,43.6572,-79.345,52,0.1
AWS,43.6573,-79.3905,101,0.19
AWS,43.6575,-79.4033,126.3,0.23
AWS,43.6575,-79.3833,188,0.34
AWS,43.6578,-79.4881,143,0.26
PCS,43.6578,-79.4461,138,0.25
AWS,43.6578,-79.4461,140,0.26
MBS,43.6578,-79.4461,147,0.27
AWS,43.6578,-79.3889,99,0.18
AWS,43.6578,-79.3756,93,0.17
AWS,43.6578,-79.37,153,0.28
FCFS38,43.6579,-79.4883,145,0.27
AWS,43.6581,-79.4881,139,0.26
AWS,43.6581,-79.4461,145,0.27
AWS,43.6581,-79.3906,385,0.71
AWS,43.6581,-79.3889,149.5,0.27
PCS,43.6581,-79.3497,88,0.16
AWS,43.6583,-79.3989,155.7,0.29
FCFS38,43.6584,-79.399,152,0.28
AWS,43.6584,-79.3901,103,0.19
AWS,43.6585,-79.372,122,0.22
PCS,43.6585,-79.372,124,0.23
PCS,43.6586,-79.399,153,0.28
MBS,43.6586,-79.399,155,0.28
PCS,43.6586,-79.399,157,0.29
AWS,43.6586,-79.3986,150,0.28
AWS,43.6589,-79.4297,165,0.3
AWS,43.6589,-79.3783,126.5,0.23
AWS,43.6591,-79.3821,93,0.17
AWS,43.6592,-79.3897,104,0.19
AWS,43.6592,-79.3764,138,0.25
AWS,43.6592,-79.3717,131.1,0.24
BWA24,43.6594,-79.3536,70,0.13
AWS,43.6597,-79.4361,154,0.28
AWS,43.6597,-79.4361,155.3,0.28
AWS,43.6599,-79.3887,106,0.19
PCS,43.66,-79.4302,151,0.28
AWS,43.66,-79.3953,130,0.24
AWS,43.66,-79.3831,205.2,0.38
PCS,43.66,-79.3792,133,0.24
PCS,43.6601,-79.4363,150,0.28
PCS,43.6601,-79.4363,162,0.3
PCS,43.6601,-79.393,148,0.27
MBS,43.6601,-79.393,175,0.32
AWS,43.6603,-79.3861,136.5,0.25
AWS,43.6603,-79.3292,91.3,0.17
PCS,43.6603,-79.3291,94,0.17
AWS,43.6603,-79.3291,95,0.17
MBS,43.6603,-79.3291,97,0.18
CELL,43.6603,-79.3291,97,0.18
BWA24,43.6606,-79.3856,224,0.41
AWS,43.6606,-79.3825,157,0.29
MBS,43.6612,-79.3869,147,0.27
RAC,43.6614,-79.5128,111,0.2
AWS,43.6614,-79.3867,106,0.19
MBS,43.6614,-79.3835,118,0.22
PCS,43.6614,-79.3835,120,0.22
AWS,43.6617,-79.3874,212,0.39
AWS,43.6617,-79.3861,142,0.26
BWA24,43.6617,-79.3828,10,0.02
AWS,43.6617,-79.3828,156.4,0.29
MBS,43.6617,-79.3397,102,0.19
PCS,43.6617,-79.3397,104,0.19
AWS,43.6617,-79.3397,106,0.19
WCS,43.6618,-79.3828,162,0.3
PCS,43.662,-79.3216,94,0.17
CELL,43.6622,-79.3831,107,0.2
AWS,43.6622,-79.3786,128,0.23
PCS,43.6623,-79.4814,142,0.26
PCS,43.6623,-79.4814,144,0.26
AWS,43.6623,-79.4814,145,0.27
AWS,43.6623,-79.3788,135,0.25
MBS,43.6623,-79.3788,138,0.25
PCS,43.6623,-79.3653,119,0.22
AWS,43.6623,-79.3653,121,0.22
AWS,43.6625,-79.4214,125,0.23
CELL,43.6625,-79.3889,139,0.26
AWS,43.6625,-79.3769,127,0.23
AWS,43.6625,-79.3653,110.8,0.2
AWS,43.6625,-79.3329,84,0.15
FCFS38,43.6625,-79.3329,99,0.18
FCFS38,43.6627,-79.4215,127,0.23
PCS,43.6628,-79.4214,129,0.24
AWS,43.6628,-79.4214,130,0.24
AWS,43.6628,-79.3886,154.6,0.28
WBS,43.6628,-79.3575,166,0.3
FCFS38,43.663,-79.3577,165,0.3
AWS,43.6631,-79.3989,140.9,0.26
PCS,43.6631,-79.3581,160,0.29
AWS,43.6631,-79.3581,162,0.3
PCS,43.6631,-79.3581,164,0.3
AWS,43.6631,-79.3578,119,0.22
AWS,43.6631,-79.3575,163,0.3
AWS,43.6631,-79.3406,112,0.21
AWS,43.6633,-79.3738,132,0.24
MBS,43.6633,-79.3738,134,0.25
AWS,43.6633,-79.3403,113,0.21
AWS,43.6636,-79.4106,135.2,0.25
RAC,43.6639,-79.5103,113,0.21
RAC,43.6639,-79.4569,122,0.22
BRS,43.6642,-79.4561,133.6,0.25
PCS,43.6644,-79.3995,162,0.3
MBS,43.6644,-79.3995,167,0.31
AWS,43.6644,-79.3875,177.4,0.33
AWS,43.6644,-79.3722,146,0.27
AWS,43.6645,-79.3993,113,0.21
AWS,43.6646,-79.3876,170,0.31
PCS,43.6646,-79.3876,172,0.32
AWS,43.6647,-79.3878,183,0.34
BWA24,43.6647,-79.3772,113,0.21
AWS,43.6649,-79.3552,170,0.31
AWS,43.665,-79.4992,147,0.27
FCFS38,43.665,-79.4991,141,0.26
PCS,43.665,-79.4986,146,0.27
AWS,43.665,-79.4986,148,0.27
AWS,43.665,-79.4983,144.2,0.26
AWS,43.665,-79.3986,162,0.3
AWS,43.665,-79.3842,153.6,0.28
FCFS38,43.6653,-79.4788,142,0.26
AWS,43.6653,-79.4786,139,0.26
PCS,43.6653,-79.3986,223,0.41
BWA24,43.6653,-79.3447,148,0.27
AWS,43.6653,-79.3175,98.6,0.18
AWS,43.6655,-79.4116,136,0.25
MBS,43.6655,-79.4116,138,0.25
RAC,43.6656,-79.5019,122,0.22
RAC,43.6656,-79.4492,123,0.23
MBS,43.6656,-79.3181,105,0.19
PCS,43.6656,-79.3181,106,0.19
CELL,43.6656,-79.3181,107,0.2
AWS,43.6656,-79.3181,109,0.2
MBS,43.6656,-79.3181,110,0.2
AWS,43.6658,-79.3839,176,0.32
AWS,43.6658,-79.38,149.8,0.27
FCFS38,43.6658,-79.3787,153,0.28
AWS,43.6658,-79.3786,157,0.29
AWS,43.6658,-79.3783,151,0.28
MBS,43.6658,-79.3783,153,0.28
