SERVICE,LATITUDE,LONGITUDE,STUCT_HT_T,PERCENT
RAC,43.6614,-79.5128,111.0,0.2
RAC,43.6639,-79.5103,113.0,0.21
AWS,43.6847,-79.5128,175.9,0.32
PCS,43.685,-79.5131,176.0,0.32
CELL,43.685,-79.5131,170.0,0.31
PCS,43.685,-79.5131,173.0,0.32
BWA24,43.7011,-79.5083,131.0,0.24
CELL,43.7102,-79.5119,161.0,0.3
MBS,43.7102,-79.5119,159.0,0.29
AWS,43.7158,-79.5097,167.0,0.31
BRS,43.718,-79.5104,162.0,0.3
PCS,43.718,-79.5104,165.0,0.3
PCS,43.718,-79.5104,157.0,0.29
PCS,43.718,-79.5104,160.0,0.29
PCS,43.7209,-79.5125,6.0,0.01
AWS,43.7242,-79.5122,183.0,0.34
WBS,43.7242,-79.5108,222.0,0.41
BRS,43.7301,-79.5098,205.0,0.38
CELL,43.7301,-79.5098,203.0,0.37
MBS,43.7314,-79.5111,162.5,0.3
AWS,43.7375,-79.5114,190.0,0.35
AWS,43.7469,-79.5131,214.0,0.39
MBS,43.7511,-79.5114,216.2,0.4
MBS,43.7611,-79.5097,211.8,0.39
BRS,43.7613,-79.5104,203.0,0.37
CELL,43.7613,-79.5104,201.0,0.37
AWS,43.7658,-79.5108,226.0,0.41
MBS,43.7725,-79.5086,230.5,0.42
